Name,Email,Phone,Dietary Restrictions,Notes
John Doe,john.doe@example.com,+1234567890,Vegetarian,Close friend from college
Jane Smith,jane.smith@example.com,+0987654321,Gluten-free,Work colleague
Robert Johnson,robert.j@example.com,,Vegan,Neighbor
Emily Davis,emily.davis@example.com,+1122334455,No restrictions,Childhood friend
Michael Brown,michael.brown@example.com,+5566778899,Lactose intolerant,Gym buddy
Sarah Wilson,sarah.wilson@example.com,,Nut allergy,Book club member
David Martinez,david.m@example.com,+9988776655,,Family friend
Lisa Anderson,lisa.anderson@example.com,+3344556677,Pescatarian,Yoga class
James Taylor,james.taylor@example.com,,Kosher,Business partner
Jennifer Thomas,jennifer.t@example.com,+7788990011,Halal,Community volunteer
